Market Name,Volume,TimeStamp
ETH-STORJ,41346.3284491,2017-08-23T13:49:46.177
BTC-ADX,4507661.15761,2017-08-23T13:49:39.63
ETH-ADX,303602.790368,2017-08-23T13:47:42.02
ETH-DASH,498.4813296,2017-08-23T13:49:46.99
ETH-SC,11516305.739,2017-08-23T13:49:47.707
ETH-ZEC,319.425776,2017-08-23T13:49:53.097
USDT-ZEC,1420.9458867,2017-08-23T13:46:55.033
USDT-LTC,16497.9606449,2017-08-23T13:49:40.223
USDT-ETC,78171.0964727,2017-08-23T13:49:48.567
USDT-XRP,36249506.5592,2017-08-23T13:49:55.253
BTC-OMG,1608023.97638,2017-08-23T13:49:55.55
ETH-OMG,367384.13176,2017-08-23T13:49:41.363
BTC-CVC,5397371.76384,2017-08-23T13:49:38.223
ETH-CVC,688319.265501,2017-08-23T13:49:44.52
BTC-PART,54055.4988196,2017-08-23T13:48:51.77
BTC-QTUM,594254.596092,2017-08-23T13:49:58.473
ETH-QTUM,108728.690927,2017-08-23T13:49:56.19
ETH-XMR,13428.0819266,2017-08-23T13:49:59.44
ETH-XEM,464994.304527,2017-08-23T13:47:41.033
ETH-XLM,4184328.20111,2017-08-23T13:49:59.41
ETH-NEO,107254.149299,2017-08-23T13:49:55.44
USDT-XMR,19212.581761,2017-08-23T13:49:34.707
USDT-DASH,1940.56412537,2017-08-23T13:49:18.13
ETH-BCC,3559.15961238,2017-08-23T13:50:02.207
USDT-BCC,6670.19288218,2017-08-23T13:50:02.643
BTC-BCC,54859.1079089,2017-08-23T13:50:00.287
USDT-NEO,133385.867692,2017-08-23T13:49:40.863
ETH-WAVES,19472.7248691,2017-08-23T13:50:03.99
ETH-STRAT,101563.166954,2017-08-23T13:50:02.63
ETH-DGB,2027798.67087,2017-08-23T13:49:18.817
ETH-FCT,1514.2762816,2017-08-23T13:50:05.02
ETH-BTS,494234.289184,2017-08-23T13:50:05.99
